Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,435.040009,437.170013,427.109985,429.980011,425.058624,137785900
2022-03-02,432.369995,439.720001,431.570007,437.890015,432.878082,117726500
2022-03-03,440.470001,441.109985,433.799988,435.709991,430.722992,105501700
2022-03-04,431.750000,433.369995,427.880005,432.170013,427.223572,113978200
2022-03-07,431.549988,432.299988,419.359985,419.429993,414.629364,137896600
2022-03-08,419.619995,427.209991,415.119995,416.250000,411.485779,164772700
2022-03-09,425.140015,429.510010,422.820007,427.410004,422.518036,116990800
2022-03-10,422.519989,426.429993,420.440002,425.480011,420.610138,93972700
2022-03-11,428.119995,428.769989,419.529999,420.070007,415.262054,95636300
2022-03-14,420.890015,424.549988,415.790009,417.000000,412.227173,95729200
2022-03-15,419.769989,426.839996,418.420013,426.170013,421.292236,106219100
2022-03-16,429.890015,435.679993,424.799988,435.619995,430.634033,144954800
2022-03-17,433.589996,441.070007,433.190002,441.070007,436.021698,102676900
2022-03-18,438.000000,444.859985,437.220001,444.519989,440.797333,106345500
2022-03-21,444.339996,446.459991,440.679993,444.390015,440.668457,88349800
2022-03-22,445.859985,450.579987,445.859985,449.589996,445.824890,74650400
2022-03-23,446.910004,448.489990,443.709991,443.799988,440.083344,79426100
2022-03-24,445.940002,450.500000,444.760010,450.489990,446.717316,64736900
2022-03-25,451.160004,452.980011,448.429993,452.690002,448.898926,77101300
2022-03-28,452.059998,455.910004,450.059998,455.910004,452.091949,68529800
2022-03-29,460.019989,462.070007,457.179993,461.549988,457.684692,86581500
2022-03-30,460.339996,461.200012,456.470001,458.700012,454.858612,79666900
2022-03-31,457.890015,458.760010,451.160004,451.640015,447.857727,121699900
2022-04-01,453.309998,453.459991,449.140015,452.920013,449.127014,89048800
2022-04-04,453.130005,456.910004,452.260010,456.799988,452.974487,59601000
2022-04-05,455.220001,457.829987,449.820007,451.029999,447.252808,74214500
2022-04-06,446.890015,448.929993,443.470001,446.519989,442.780579,106898000
2022-04-07,445.589996,450.690002,443.529999,448.769989,445.011749,78097200
2022-04-08,447.970001,450.630005,445.940002,447.570007,443.821808,79272700
2022-04-11,444.109985,445.000000,439.390015,439.920013,436.235870,89770500
2022-04-12,443.079987,445.750000,436.649994,438.290009,434.619537,84363600
2022-04-13,438.029999,444.109985,437.839996,443.309998,439.597473,74070400
2022-04-14,443.549988,444.730011,437.679993,437.790009,434.123718,97869500
2022-04-18,436.809998,439.750000,435.609985,437.970001,434.302216,66002500
2022-04-19,437.859985,445.799988,437.679993,445.040009,441.312988,77821000
2022-04-20,446.920013,447.570007,443.480011,444.709991,440.985748,65224400
2022-04-21,448.540009,450.010010,437.100006,438.059998,434.391449,85417300
2022-04-22,436.910004,438.079987,425.440002,426.040009,422.472107,132471800
2022-04-25,423.670013,428.690002,418.839996,428.510010,424.921417,119647700
2022-04-26,425.829987,426.040009,416.070007,416.100006,412.615356,103996300
2022-04-27,417.239990,422.920013,415.010010,417.269989,413.775543,122030000
2022-04-28,422.290009,429.640015,417.600006,427.809998,424.227295,105449100
2022-04-29,423.589996,425.869995,411.209991,412.000000,408.549683,145491100
2022-05-02,412.070007,415.920013,405.019989,414.480011,411.008911,158312500
2022-05-03,415.010010,418.929993,413.359985,416.380005,412.893005,100028200
2022-05-04,417.079987,429.660004,413.709991,429.059998,425.466827,144247900
2022-05-05,424.549988,425.000000,409.440002,413.809998,410.344513,172929100
2022-05-06,411.100006,414.799988,405.730011,411.339996,407.895203,151770800
2022-05-09,405.100006,406.410004,396.500000,398.170013,394.835510,155586100
2022-05-10,404.489990,406.079987,394.820007,399.089996,395.747772,132497200
